NUM_POSTE;AN;MOIS;JOUR;TM;PAR
21106002;2013;1;1;5.5;0.46
21106002;2013;1;2;1.7;1.23
21106002;2013;1;3;2.9;0.91
21106002;2013;1;4;6.4;0.74
21106002;2013;1;5;6.7;0.55
21106002;2013;1;6;6.3;0.48
21106002;2013;1;7;4.6;0.73
21106002;2013;1;8;2.7;0.53
21106002;2013;1;9;0.7;0.63
21106002;2013;1;10;2.3;0.55
21106002;2013;1;11;4.2;0.98
21106002;2013;1;12;1.5;0.81
21106002;2013;1;13;2.9;1.17
21106002;2013;1;14;-0.3;0.51
21106002;2013;1;15;-0.8;1.79
21106002;2013;1;16;-2.7;1.47
21106002;2013;1;17;-3.8;1.46
21106002;2013;1;18;-4.2;1.94
21106002;2013;1;19;-1;1.24
21106002;2013;1;20;0.8;1.37
21106002;2013;1;21;1.5;1.15
21106002;2013;1;22;2.5;1.86
21106002;2013;1;23;1.1;2.19
21106002;2013;1;24;0.4;1.21
21106002;2013;1;25;-3.1;0.83
21106002;2013;1;26;-2.4;1.53
21106002;2013;1;27;1.8;0.76
21106002;2013;1;28;3;1.46
21106002;2013;1;29;6.2;0.66
21106002;2013;1;30;10.3;1.57
21106002;2013;1;31;7.6;2.05
21106002;2013;2;1;8.3;0.85
21106002;2013;2;2;3.8;1.91
21106002;2013;2;3;2.5;2.14
21106002;2013;2;4;4.2;1.01
21106002;2013;2;5;4.6;1.8
21106002;2013;2;6;1.9;1.88
21106002;2013;2;7;1.1;1.91
21106002;2013;2;8;-0.4;3.14
21106002;2013;2;9;-0.8;2.97
21106002;2013;2;10;-2.1;1.87
21106002;2013;2;11;1.7;1.52
21106002;2013;2;12;-0.2;1.1
21106002;2013;2;13;-1.5;2.6
21106002;2013;2;14;-2.1;1.74
21106002;2013;2;15;2.6;2.03
21106002;2013;2;16;2.1;3.99
21106002;2013;2;17;2.2;3.65
21106002;2013;2;18;-0.2;4.65
21106002;2013;2;19;-2.2;1.88
21106002;2013;2;20;1.2;3.62
21106002;2013;2;21;-0.9;3.02
21106002;2013;2;22;-2.7;3.17
21106002;2013;2;23;-3.2;2.58
21106002;2013;2;24;-2.6;1.83
21106002;2013;2;25;-2.9;2.77
21106002;2013;2;26;-0.6;4.74
21106002;2013;2;27;2.6;1
21106002;2013;2;28;1.8;2.42
21106002;2013;3;1;1.1;2.67
21106002;2013;3;2;2;1.27
21106002;2013;3;3;2.3;4.1
21106002;2013;3;4;4.5;5.63
21106002;2013;3;5;5.2;2.66
21106002;2013;3;6;9.2;2.55
21106002;2013;3;7;9.7;3.73
21106002;2013;3;8;8.8;2.07
21106002;2013;3;9;9.4;4.32
21106002;2013;3;10;8.5;3.84
21106002;2013;3;11;9.1;4.67
21106002;2013;3;12;5.2;2.45
21106002;2013;3;13;-0.2;1.88
21106002;2013;3;14;-0.8;4.25
21106002;2013;3;15;-0.2;6.85
21106002;2013;3;16;3.2;4.41
21106002;2013;3;17;6.2;1.32
21106002;2013;3;18;5.2;4.48
21106002;2013;3;19;5.9;5.27
21106002;2013;3;20;6.2;4.49
21106002;2013;3;21;6.6;5.98
21106002;2013;3;22;8.3;6.26
21106002;2013;3;23;7.8;1.83
21106002;2013;3;24;5.3;2.6
21106002;2013;3;25;3.6;5.56
21106002;2013;3;26;2.3;2.99
21106002;2013;3;27;2.4;3.07
21106002;2013;3;28;2.8;2.57
21106002;2013;3;29;1.3;2.62
21106002;2013;3;30;5;3.44
21106002;2013;3;31;3.1;7.02
21106002;2013;4;1;4.2;8.19
21106002;2013;4;2;5.4;8.12
21106002;2013;4;3;5.9;7.37
21106002;2013;4;4;8.3;6.85
21106002;2013;4;5;6.9;3.44
21106002;2013;4;6;5.2;6.38
21106002;2013;4;7;5.7;5.26
21106002;2013;4;8;4.9;2.84
21106002;2013;4;9;7.4;4.53
21106002;2013;4;10;10.1;5.48
21106002;2013;4;11;11.7;2.52
21106002;2013;4;12;9.8;5.55
21106002;2013;4;13;11.7;8.28
21106002;2013;4;14;15.8;9.98
21106002;2013;4;15;16.1;7.12
21106002;2013;4;16;16.5;7.09
21106002;2013;4;17;16.3;10.12
21106002;2013;4;18;14.9;4.1
21106002;2013;4;19;10.6;5.26
21106002;2013;4;20;8.5;2.55
21106002;2013;4;21;9.8;3.87
21106002;2013;4;22;10.8;5.37
21106002;2013;4;23;11.3;9.54
21106002;2013;4;24;13.7;10.54
21106002;2013;4;25;15.8;10.69
21106002;2013;4;26;13.7;1.66
21106002;2013;4;27;5.4;1.76
21106002;2013;4;28;6.9;2.77
21106002;2013;4;29;9.5;4.38
21106002;2013;4;30;10.5;2.59
21106002;2013;5;1;12.2;5.42
21106002;2013;5;2;13;7.38
21106002;2013;5;3;11.4;1.46
21106002;2013;5;4;12.6;6.95
21106002;2013;5;5;14.8;10.79
21106002;2013;5;6;14.2;4.93
21106002;2013;5;7;13.3;8.84
21106002;2013;5;8;14.9;6.26
21106002;2013;5;9;15.3;5.97
21106002;2013;5;10;11.7;5.41
21106002;2013;5;11;12;4.99
21106002;2013;5;12;10.6;7.3
21106002;2013;5;13;11.1;4.19
21106002;2013;5;14;13.4;8.96
21106002;2013;5;15;11.6;2.83
21106002;2013;5;16;9.3;2.52
21106002;2013;5;17;10.5;4.63
21106002;2013;5;18;11;5.64
21106002;2013;5;19;10.6;5.85
21106002;2013;5;20;9.7;2.8
21106002;2013;5;21;10.1;1.99
21106002;2013;5;22;8.9;3.41
21106002;2013;5;23;7.5;5.67
21106002;2013;5;24;6.2;6.7
21106002;2013;5;25;7.3;6.55
21106002;2013;5;26;8.7;4.11
21106002;2013;5;27;11.9;12.1
21106002;2013;5;28;10.6;5.41
21106002;2013;5;29;9.3;6.24
21106002;2013;5;30;9.5;4.09
21106002;2013;5;31;11.5;2.59
