NUM_POSTE;AN;MOIS;JOUR;TM;PAR
21106002;2013;1;1;7.65;7.5
21106002;2013;1;2;9.3;8.3
21106002;2013;1;3;6.95;7.6
21106002;2013;1;4;4.95;4.2
21106002;2013;1;5;3.95;7.3
21106002;2013;1;6;3.1;6.1
21106002;2013;1;7;4.75;6.7
21106002;2013;1;8;3.65;7.2
21106002;2013;1;9;7.95;6
21106002;2013;1;10;10.15;4.9
21106002;2013;1;11;10.7;5.8
21106002;2013;1;12;10.6;4.1
21106002;2013;1;13;11.25;2.8
21106002;2013;1;14;9.45;0.7
21106002;2013;1;15;7.9;3.4
21106002;2013;1;16;6.5;6.2
21106002;2013;1;17;3.8;5.1
21106002;2013;1;18;2.4;2.8
21106002;2013;1;19;7.95;3.3
21106002;2013;1;20;7.4;7.5
21106002;2013;1;21;6.8;7
21106002;2013;1;22;5.95;6.5
21106002;2013;1;23;8.35;4.4
21106002;2013;1;24;10.6;6.7
21106002;2013;1;25;5.15;5.8
21106002;2013;1;26;4;3.3
21106002;2013;1;27;3.7;7.2
21106002;2013;1;28;1.25;7.2
21106002;2013;1;29;1.35;7.3
21106002;2013;1;30;0.5;6.9
21106002;2013;1;31;5.35;5.9
21106002;2013;2;1;5.85;7.2
21106002;2013;2;2;7;6.4
21106002;2013;2;3;9.5;6.6
21106002;2013;2;4;11.05;7.3
21106002;2013;2;5;7.2;4.4
21106002;2013;2;6;8.85;5.7
21106002;2013;2;7;11.1;7.4
21106002;2013;2;8;5.5;6.9
21106002;2013;2;9;3.2;7.7
21106002;2013;2;10;4.4;7.4
21106002;2013;2;11;7.25;7.6
21106002;2013;2;12;4.3;6.3
21106002;2013;2;13;0.9;7.4
21106002;2013;2;14;-0.6;2.1
21106002;2013;2;15;2.05;0.7
21106002;2013;2;16;-2;6.7
21106002;2013;2;17;-8.25;6.7
21106002;2013;2;18;0.2;1.3
21106002;2013;2;19;1.75;1.2
21106002;2013;2;20;-3.95;3.7
21106002;2013;2;21;-4.4;6.1
21106002;2013;2;22;-4.35;6.8
21106002;2013;2;23;-2.6;7.2
21106002;2013;2;24;-0.75;7.7
21106002;2013;2;25;0.45;6.4
21106002;2013;2;26;0.55;4
21106002;2013;2;27;-0.15;7.7
21106002;2013;2;28;-1.05;8.6
21106002;2013;3;1;1.45;8.9
21106002;2013;3;2;1.35;6.1
21106002;2013;3;3;7.25;6.1
21106002;2013;3;4;4.7;5.9
21106002;2013;3;5;5.75;5.3
21106002;2013;3;6;4.35;5.5
21106002;2013;3;7;3.7;5.6
21106002;2013;3;8;3.15;9
21106002;2013;3;9;4.45;9.9
21106002;2013;3;10;4.6;2
21106002;2013;3;11;9.6;1
21106002;2013;3;12;8.3;3.1
21106002;2013;3;13;7.3;8.2
21106002;2013;3;14;6.3;11
21106002;2013;3;15;10.4;10.7
21106002;2013;3;16;12.95;11.2
21106002;2013;3;17;9.85;9.9
21106002;2013;3;18;12.95;3
21106002;2013;3;19;10.7;4.9
21106002;2013;3;20;8.2;1.4
21106002;2013;3;21;7.9;11.5
21106002;2013;3;22;9.35;10.6
21106002;2013;3;23;7.65;10.2
21106002;2013;3;24;5.55;12.6
21106002;2013;3;25;3.5;12.2
21106002;2013;3;26;2.9;11.6
21106002;2013;3;27;1.25;10.1
21106002;2013;3;28;0.1;3.4
21106002;2013;3;29;1.55;4.9
21106002;2013;3;30;0.7;3.5
21106002;2013;3;31;4.65;13.2
21106002;2013;4;1;5;11.1
21106002;2013;4;2;7.55;7.5
21106002;2013;4;3;11.1;8.4
21106002;2013;4;4;10.05;6.2
21106002;2013;4;5;11.55;12.4
21106002;2013;4;6;14.75;13.9
21106002;2013;4;7;13.85;4.7
21106002;2013;4;8;7.15;12.5
21106002;2013;4;9;5.55;13.3
21106002;2013;4;10;7;15.8
21106002;2013;4;11;5.35;11.7
21106002;2013;4;12;4.4;5.7
21106002;2013;4;13;6.95;2.1
21106002;2013;4;14;6.65;3.1
21106002;2013;4;15;7.85;13.2
21106002;2013;4;16;6.1;7.6
21106002;2013;4;17;8;8.4
21106002;2013;4;18;7.8;7.2
21106002;2013;4;19;4.5;13.6
21106002;2013;4;20;6.55;17.2
21106002;2013;4;21;6.9;17
21106002;2013;4;22;6.9;16.9
21106002;2013;4;23;6.4;16.9
21106002;2013;4;24;7.3;14.6
21106002;2013;4;25;5.9;16.1
21106002;2013;4;26;3.55;6.9
21106002;2013;4;27;7.05;19.8
21106002;2013;4;28;8.5;19.7
21106002;2013;4;29;10.55;17.4
21106002;2013;4;30;11.5;7.7
21106002;2013;5;1;11.4;10.5
21106002;2013;5;2;9.1;9.4
21106002;2013;5;3;12.45;5.1
21106002;2013;5;4;7.4;17.8
21106002;2013;5;5;6.35;21.8
21106002;2013;5;6;7.3;21.8
21106002;2013;5;7;8.3;21.1
21106002;2013;5;8;8.65;11.7
21106002;2013;5;9;11.45;0.8
21106002;2013;5;10;11.4;16.4
21106002;2013;5;11;12.3;8.5
21106002;2013;5;12;13;20.7
21106002;2013;5;13;13.05;8.7
21106002;2013;5;14;12.95;1.6
21106002;2013;5;15;12.3;2.2
21106002;2013;5;16;11.9;21.2
21106002;2013;5;17;12.4;23.8
21106002;2013;5;18;12;20.8
21106002;2013;5;19;9.85;24.2
21106002;2013;5;20;10.95;23.7
21106002;2013;5;21;12.3;23.1
21106002;2013;5;22;12.5;22.4
21106002;2013;5;23;12.85;23.1
21106002;2013;5;24;13.25;22.5
21106002;2013;5;25;16.15;17.2
21106002;2013;5;26;14.5;9.8
21106002;2013;5;27;15;25.4
21106002;2013;5;28;14.9;23.4
21106002;2013;5;29;13.45;24.8
21106002;2013;5;30;13.2;20.6
21106002;2013;5;31;14.55;16.8
21106002;2013;6;1;15.2;24
21106002;2013;6;2;17.35;24.8
21106002;2013;6;3;15.6;14.6
21106002;2013;6;4;15.05;17.2
21106002;2013;6;5;17.25;21.6
21106002;2013;6;6;14.7;25.1
21106002;2013;6;7;15.5;24.8
21106002;2013;6;8;12.75;15.3
21106002;2013;6;9;8.3;19.8
21106002;2013;6;10;10.6;24.1
21106002;2013;6;11;11.85;26.7
21106002;2013;6;12;12.5;27.3
21106002;2013;6;13;16.05;26.9
21106002;2013;6;14;15.3;26.3
21106002;2013;6;15;14.85;20
21106002;2013;6;16;17.05;25.2
21106002;2013;6;17;15.6;21.1
21106002;2013;6;18;14.1;24.5
21106002;2013;6;19;13.65;27.8
21106002;2013;6;20;11.95;18.1
21106002;2013;6;21;12.7;26.4
21106002;2013;6;22;10.65;5.1
21106002;2013;6;23;13.15;10.6
21106002;2013;6;24;14.4;18.3
21106002;2013;6;25;13.85;20.3
21106002;2013;6;26;13.05;28.8
21106002;2013;6;27;13.2;29.3
21106002;2013;6;28;13.9;24.1
21106002;2013;6;29;16.25;25.7
21106002;2013;6;30;18.3;27.6
21106002;2013;7;1;17.1;23.5
21106002;2013;7;2;18.55;24
21106002;2013;7;3;18.85;25.6
21106002;2013;7;4;18.5;20.9
21106002;2013;7;5;19.15;29.3
21106002;2013;7;6;21.1;27.1
21106002;2013;7;7;19.5;27.4
21106002;2013;7;8;21.2;28.6
21106002;2013;7;9;17.6;14.1
21106002;2013;7;10;19.6;18.3
21106002;2013;7;11;19.85;27.9
21106002;2013;7;12;19.7;27.4
21106002;2013;7;13;19.65;9.7
21106002;2013;7;14;17.6;25.2
21106002;2013;7;15;17.05;24.4
21106002;2013;7;16;16.2;22.6
21106002;2013;7;17;19.9;25.7
21106002;2013;7;18;20.6;27.9
21106002;2013;7;19;20.55;20.1
21106002;2013;7;20;21.9;25.6
21106002;2013;7;21;19;22.1
21106002;2013;7;22;15.2;26.3
21106002;2013;7;23;14.75;27.9
21106002;2013;7;24;16.55;29.6
21106002;2013;7;25;17.05;12.4
21106002;2013;7;26;17.5;28.2
21106002;2013;7;27;18.6;29.8
21106002;2013;7;28;20.1;30.2
21106002;2013;7;29;21.75;29.4
21106002;2013;7;30;22.4;29.4
21106002;2013;7;31;22.35;29.6
21106002;2013;8;1;23.5;7.4
21106002;2013;8;2;18.45;30.1
21106002;2013;8;3;24.45;28.9
21106002;2013;8;4;23.45;28.1
21106002;2013;8;5;24.6;27
21106002;2013;8;6;25.35;22.6
21106002;2013;8;7;27.3;24.3
21106002;2013;8;8;26.15;27.2
21106002;2013;8;9;25.85;27.5
21106002;2013;8;10;27;24.4
21106002;2013;8;11;26.65;17
21106002;2013;8;12;23.9;11.1
21106002;2013;8;13;23.4;19.2
21106002;2013;8;14;23.15;28.7
21106002;2013;8;15;24.25;26.9
21106002;2013;8;16;24.05;24.6
21106002;2013;8;17;23.75;27.5
21106002;2013;8;18;23.75;26.8
21106002;2013;8;19;23.1;23.4
21106002;2013;8;20;22.3;9.8
